id_loc,id_mun,id_cf,id_cfarabic,lat_loc,lon_loc,name_loc,matched_region_ar
3418,602,23643,,33.64889072798603,35.58293022564972,الجية-الشوف,الجية
3394,613,23267,,33.67921371801549,35.42337789176164,بيروت-الجية,الجية
3350,582,23141,,33.73505,35.45483,دوحة_الحص-الدامور,الدامور
3329,1297,33133,,34.41854719874039,35.89876909602456,وادي_الزينة-الرميلة,الرميلة
3321,644,23141,,33.752807714333365,35.45374424547221,الدوحة-الناعمة,الناعمة
3320,458,24133,,33.783919063743355,35.47697938453228,الدوحة-خلدة,خلدة
3308,458,24133,,33.7695,35.467229999999994,الاولي-الدامور,الدامور
3220,582,23111,,33.69440877802401,35.42745564986389,الناعمة-السعديات,"الناعمة, السعديات"
3215,994,73257,,33.25031,35.529239999999994,السعديات-الدبية,السعديات
3173,458,24133,,33.785645779413834,35.4782579705507,صيدا-خلدة,خلدة
